istanza,num_richieste,richieste_esclusi,archi_attivi,tempo_sec,soluzione_trovata
ipdptw-n100-ber0.txt,-,-,-,115.1,False
ipdptw-n100-ber1.txt,-,-,-,13.94,False
ipdptw-n100-ber2.txt,-,-,-,13.7,False
ipdptw-n100-ber3.txt,-,-,-,13.95,False
ipdptw-n100-ber4.txt,-,-,-,14.23,False
ipdptw-n100-ber5.txt,-,-,-,14.37,False
ipdptw-n100-ber6.txt,-,-,-,126.0,False
ipdptw-n100-ber7.txt,-,-,-,13.55,False
ipdptw-n100-ber8.txt,-,-,-,13.77,False
ipdptw-n100-ber9.txt,-,-,-,13.79,False
ipdptw-n20-ber.txt,4,6,9,0.28,True
ipdptw-n20-ber0.txt,6,4,13,0.3,True
ipdptw-n20-ber1.txt,-,-,-,0.53,False
ipdptw-n20-ber2.txt,2,8,5,0.37,True
ipdptw-n20-ber3.txt,-,-,-,6.84,False
ipdptw-n20-ber4.txt,4,6,9,0.37,True
ipdptw-n20-ber5.txt,-,-,-,10.9,False
ipdptw-n20-ber6.txt,-,-,-,0.58,False
ipdptw-n20-ber7.txt,-,-,-,22.28,False
ipdptw-n20-ber8.txt,-,-,-,14.26,False
ipdptw-n20-ber9.txt,-,-,-,0.35,False
ipdptw-n200-ber0.txt,-,-,-,66.57,False
ipdptw-n200-ber1.txt,-,-,-,68.41,False
ipdptw-n200-ber2.txt,-,-,-,72.93,False
ipdptw-n200-ber3.txt,-,-,-,67.34,False
ipdptw-n200-ber4.txt,-,-,-,69.19,False
ipdptw-n200-ber5.txt,-,-,-,68.81,False
ipdptw-n200-ber6.txt,-,-,-,71.1,False
ipdptw-n200-ber7.txt,-,-,-,64.78,False
ipdptw-n200-ber8.txt,-,-,-,66.98,False
ipdptw-n200-ber9.txt,-,-,-,68.19,False
ipdptw-n50-ber0.txt,-,-,-,286.08,False
ipdptw-n50-ber1.txt,-,-,-,15.59,False
ipdptw-n50-ber2.txt,7,18,15,2.78,True
ipdptw-n50-ber3.txt,-,-,-,8.32,False
ipdptw-n50-ber4.txt,-,-,-,86.99,False
ipdptw-n50-ber5.txt,-,-,-,68.35,False
ipdptw-n50-ber6.txt,-,-,-,24.11,False
ipdptw-n50-ber7.txt,-,-,-,43.83,False
ipdptw-n50-ber8.txt,-,-,-,77.4,False
ipdptw-n50-ber9.txt,-,-,-,62.12,False
