istanza,num_richieste,richieste_esclusi,archi_attivi,tempo_sec,soluzione_trovata
ipdptw-n100-ber0.txt,12,38,25,318.2,True
ipdptw-n100-ber1.txt,26,24,53,278.75,True
ipdptw-n100-ber2.txt,24,26,49,1580.83,True
ipdptw-n100-ber3.txt,28,22,57,198.57,True
ipdptw-n100-ber4.txt,14,36,29,1009.04,True
ipdptw-n100-ber5.txt,18,32,37,147.16,True
ipdptw-n100-ber6.txt,28,22,57,34.62,True
ipdptw-n100-ber7.txt,24,26,49,81.15,True
ipdptw-n100-ber8.txt,20,30,41,999.29,True
ipdptw-n100-ber9.txt,28,22,57,17.95,True
ipdptw-n20-ber.txt,4,6,9,0.33,True
ipdptw-n20-ber0.txt,4,6,9,0.31,True
ipdptw-n20-ber1.txt,8,2,17,0.86,True
ipdptw-n20-ber2.txt,-,-,-,604.83,False
ipdptw-n20-ber3.txt,-,-,-,3.12,False
ipdptw-n20-ber4.txt,8,2,17,0.6,True
ipdptw-n20-ber5.txt,4,6,9,0.32,True
ipdptw-n20-ber6.txt,6,4,13,0.49,True
ipdptw-n20-ber7.txt,4,6,9,0.32,True
ipdptw-n20-ber8.txt,4,6,9,0.3,True
ipdptw-n20-ber9.txt,4,6,9,0.31,True
