istanza,num_richieste,richieste_servite,tempo_sec,soluzione_trovata
input_modello_10.json,20,12.0,600.6,True
input_modello_10a.json,20,10.0,600.54,True
input_modello_10b.json,20,10.0,600.46,True
input_modello_10c.json,20,12.0,600.49,True
input_modello_10d.json,20,12.0,600.57,True
input_modello_12.json,24,10.0,600.6,True
input_modello_12a.json,24,16.0,600.64,True
input_modello_12b.json,24,16.0,600.69,True
input_modello_12c.json,24,12.0,600.76,True
input_modello_12d.json,24,12.0,600.61,True
input_modello_15.json,30,16.0,600.82,True
input_modello_15a.json,30,20.0,601.05,True
input_modello_15b.json,30,14.0,600.86,True
input_modello_15c.json,30,20.0,600.78,True
input_modello_15d.json,30,12.0,600.86,True
input_modello_17.json,34,10.0,601.46,True
input_modello_17a.json,34,18.0,601.3,True
input_modello_17b.json,34,18.0,601.08,True
input_modello_17c.json,34,16.0,600.97,True
input_modello_17d.json,34,16.0,601.07,True
input_modello_20.json,40,28.0,601.71,True
input_modello_5.json,10,8.0,1.27,True
input_modello_5a.json,10,6.0,0.63,True
input_modello_5b.json,10,6.0,0.17,True
input_modello_5c.json,10,8.0,0.88,True
input_modello_5d.json,10,6.0,2.38,True
input_modello_8.json,16,14.0,42.37,True
input_modello_8a.json,16,10.0,600.54,True
input_modello_8b.json,16,8.0,601.21,True
